# indx m1 m2 s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 2.005493757036320090e+01 9.688868424845662020e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.215065549831897442e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.922961203829714094e+01 9.420792618883618630e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.066927960355885034e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.624516473908024139e+01 1.000742703191956906e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.995011224727321860e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.655575871164544211e+01 8.481208166719881092e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.705937049311758528e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.787576670714555505e+01 8.049262511422615063e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.832921911442173041e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.801521104316632815e+01 9.375971405548387594e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.722472535227172330e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.445255828497978712e+01 8.213217032451897381e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.029745726396507166e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.495322808919107871e+01 1.163538699712036539e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.118836504058979244e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.393410714437629849e+01 1.002126607234900035e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.988311983342766354e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.473312630420812752e+01 1.021879371440166295e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.685779562677538479e+00 1.000000000000000056e-01 -1.000000000000000000e+00
