# gamma0 gamma1 gamma2 gamma3 log_central_pressure1_cgs log_central_pressure2_cgs
6.120596456911454597e-01 5.488652612664950414e-01 -1.220160732013658850e-01 6.527579381519049359e-03 9.349531752406724452e+34 5.514351909636329060e+34
7.890422681991002829e-01 3.038701795610160294e-01 -5.324386014360326519e-02 1.974658764151039549e-03 7.580903884169835947e+34 6.735661703322529755e+34
2.986277032533918296e-01 5.578275796710944201e-01 -9.012593803567862938e-02 3.364345923400130587e-03 2.645075914355942754e+35 1.064726748247786062e+35
7.828026138173962423e-01 3.069058389952757926e-01 -5.918972606043482881e-02 2.743869831441996757e-03 9.132903897185725858e+34 6.627513840164098697e+34
5.858482530459209192e-01 2.871923283075081268e-01 -3.554770293622205174e-02 6.875987234977214623e-04 1.934335225758060989e+35 1.171627729530912194e+35
4.658381899019585215e-01 4.569768783224678055e-01 -6.848645428357839904e-02 2.426618358314984632e-03 1.277689470196622237e+35 9.032931296754692171e+34
5.174514646045009769e-01 5.239535354500918229e-01 -9.661146285932267763e-02 4.365749807825158695e-03 9.845777337306440525e+34 7.091565426189801565e+34
3.954330209482821434e-01 5.166790784948919191e-01 -8.730282958049304098e-02 3.325515164778847493e-03 1.363320074345648571e+35 1.321375712154023828e+35
5.593107797187615304e-01 5.921368137045645019e-01 -1.330046941582245512e-01 6.510114964137077471e-03 1.107243338526184072e+35 6.139998716141354860e+34
4.295125387976573283e-01 8.383853701029192473e-01 -1.917315941898241616e-01 1.011349271426549741e-02 6.390414226549096563e+34 5.287027658827428201e+34
5.460465699081000768e-01 5.689825225882634285e-01 -1.193185735253428359e-01 6.140673168358742884e-03 7.851924534456950731e+34 7.333892235569100853e+34
5.352305129407278761e-01 6.718961732865653680e-01 -1.576980453422946737e-01 8.331009354071891929e-03 7.601571896566281864e+34 6.703244051532087588e+34
1.479150328053151497e+00 -3.720764562637580708e-01 7.698455419439646785e-02 -4.653390776526288020e-03 1.601297047909073902e+35 9.257196184295279392e+34
1.057214602217306787e+00 1.571911899769658921e-02 -3.301897338323594652e-03 -2.692884303428383103e-04 1.281292090553010079e+35 8.736804256576094366e+34
8.228520726308138356e-01 1.182357002020382603e-01 -1.215150455102462744e-02 6.220308510858401285e-05 1.519524405531217995e+35 1.346978336663669075e+35
8.412086256339895707e-01 6.098920969270948261e-02 4.162725011822660838e-03 -1.081815216758971526e-03 1.907729585019496924e+35 1.473057895428670715e+35
