# indx mc delta_mc s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 1.287892695394013387e+01 6.630982878922143664e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.884338181237993695e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.029000650709959785e+01 7.942455456302567329e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.768711460215993725e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.506745553908548096e+01 3.092909007705663127e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.141880237886965460e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.706381267578294825e+01 9.206503260879883577e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.339934144908871076e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.542960853070070115e+01 4.354472708363988920e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.326660925731594261e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.532002765656819321e+01 5.497960192335421548e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.268016654239503623e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.738355421790019761e+01 3.536202602772164916e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.563333409712000957e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.507844388030448712e+01 7.585033333832852387e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.146594746352578795e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.311512902755888632e+01 6.697255142788545168e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.573159462385149254e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.152280402151568062e+01 2.113561803073144840e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.503619518417224299e+00 1.000000000000000056e-01 -1.000000000000000000e+00
